,0,1
0,污染=0, 
1, ,Robust
2, env_geren ,"Coef.
Std."
3,-------------+----------------------------------------------------------------, 
4, work ,"0.171
(0.11)"
5, age ,"-0.002***
(0.002)"
6, xingbie ,"-0.07**
(0.039)"
7, Education ,"0.089**
(0.024)"
8, zhengzhi ,"0.166*
(0.08)"
9, shejiao ,"0.011***
(0.009)"
10, hulianwang ,"0.037**
(0.021)"
11, jieceng ,"0.005**
(0.035)"
12, zongjiao ,"0.122**
(0.046)"
13, health ,"-0.012**
(0.016)"
14, xuanju ,"0.051**
(0.035)"
15, jingji ,"0.025**
(0.026)"
16, juzhu ,"0.043
(0.153)"
17, fsize ,"0.013***
(0.009)"
18, F_zhiye ,"-0.029*
(0.081)"
19, P_zhengzhi ,"-0.05*
(0.064)"
20, P_Education ,"0.063**
(0.023)"
21, pollute ,"0.455
(0.162)"
22, huanbao ,"0.106**
(0.034)"
23, _cons ,"-3.216
(0.985)"
24,污染=1, 
25, env_geren ,"Coef.
Std."
26,-------------+----------------------------------------------------------------, 
27, work ,"0.239*
(0.099)"
28, age ,"0.001***
(0.002)"
29, xingbie ,"-0.074**
(0.037)"
30, Education ,"0.075**
(0.023)"
31, zhengzhi ,"0.165*
(0.084)"
32, shejiao ,"0.027***
(0.009)"
33, hulianwang ,"0.005**
(0.017)"
34, jieceng ,"-0.018**
(0.036)"
35, zongjiao ,"0.031*
(0.053)"
36, health ,"0.02**
(0.016)"
37, xuanju ,"0.047**
(0.033)"
38, jingji ,"0.036**
(0.028)"
39, juzhu ,"-0.247*
(0.081)"
40, fsize ,"0.022**
(0.011)"
41, F_zhiye ,"0.181*
(0.083)"
42, P_zhengzhi ,"-0.11*
(0.058)"
43, P_Education ,"0.014**
(0.024)"
44, pollute ,"0.065*
(0.077)"
45, huanbao ,"-0.032**
(0.024)"
46, _cons ,"-0.723
(0.477)"
47,污染=0, 
48, env_shehui ,"Coef.
Std."
49,-------------+----------------------------------------------------------------, 
50, work ,"-0.443
(0.131)"
51, age ,"-0.007***
(0.002)"
52, xingbie ,"0.133*
(0.056)"
53, Education ,"0.147**
(0.034)"
54, zhengzhi ,"0.468
(0.156)"
55, shejiao ,"0.009**
(0.011)"
56, hulianwang ,"0.037**
(0.036)"
57, jieceng ,"0.044**
(0.048)"
58, zongjiao ,"0.227*
(0.075)"
59, health ,"-0.005**
(0.019)"
60, xuanju ,"-0.088**
(0.047)"
61, jingji ,"-0.03**
(0.04)"
62, juzhu ,"-0.174
(0.18)"
63, fsize ,"-0.01**
(0.011)"
64, F_zhiye ,"0.18
(0.148)"
65, P_zhengzhi ,"0.052*
(0.094)"
66, P_Education ,"0.114**
(0.037)"
67, pollute ,"0.548
(0.209)"
68, huanbao ,"-0.001**
(0.037)"
69, _cons ,"-2.962
(1.248)"
70,------------------------------------------------------------------------------, 
71,污染=1, 
72, ,Robust
73, env_shehui ,"Coef.
Std."
74,-------------+----------------------------------------------------------------, 
75, work ,"-0.291
(0.134)"
76, age ,"-0.002***
(0.002)"
77, xingbie ,"0.173*
(0.055)"
78, Education ,"0.123**
(0.033)"
79, zhengzhi ,"0.536
(0.162)"
80, shejiao ,"0.022**
(0.013)"
