,0,1
0,gdp=0, 
1, ,Robust
2, env_shehui ,"Coef.
Std."
3,-------------+----------------------------------------------------------------, 
4, work ,"-0.144
(0.118)"
5, age ,"-0.001
(0.002)"
6, xingbie ,"0.152
(0.049)"
7, Education ,"0.08
(0.031)"
8, zhengzhi ,"0.344
(0.151)"
9, shejiao ,"0.015
(0.011)"
10, hulianwang ,"0.042
(0.028)"
11, jieceng ,"0.078
(0.052)"
12, zongjiao ,"0.04
(0.086)"
13, health ,"0.034
(0.022)"
14, xuanju ,"0.035
(0.047)"
15, jingji ,"-0.035
(0.041)"
16, juzhu ,"-0.657
(0.132)"
17, fsize ,"0.013
(0.014)"
18, F_zhiye ,"-0.101
(0.109)"
19, P_zhengzhi ,"0.138
(0.106)"
20, P_Education ,"0.06
(0.034)"
21, pollute ,"0.18
(0.108)"
22, _cons ,"-0.949
(0.695)"
23,gdp=1, 
24, ,Robust
25, env_shehui ,"Coef.
Std."
26,-------------+----------------------------------------------------------------, 
27, work ,"-0.428
(0.149)"
28, age ,"-0.007
(0.002)"
29, xingbie ,"0.155
(0.063)"
30, Education ,"0.174
(0.036)"
31, zhengzhi ,"0.694
(0.169)"
32, shejiao ,"0.01
(0.012)"
33, hulianwang ,"0.043
(0.033)"
34, jieceng ,"0.103
(0.05)"
35, zongjiao ,"0.303
(0.084)"
36, health ,"0.01
(0.021)"
37, xuanju ,"0.03
(0.046)"
38, jingji ,"-0.045
(0.041)"
39, juzhu ,"0.121
(0.187)"
40, fsize ,"-0.004
(0.013)"
41, F_zhiye ,"0.089
(0.139)"
42, P_zhengzhi ,"0.052
(0.083)"
43, P_Education ,"0.083
(0.036)"
44, pollute ,"0.032
(0.086)"
45, _cons ,"-0.513
(0.633)"
46,gdp=0, 
47, ,Robust
48, env_geren ,"Coef.
Std."
49,-------------+----------------------------------------------------------------, 
50, work ,"0.175
(0.091)"
51, age ,"0.0
(0.001)"
52, xingbie ,"-0.056
(0.033)"
53, Education ,"0.042
(0.021)"
54, zhengzhi ,"0.187
(0.072)"
55, shejiao ,"0.012
(0.008)"
56, hulianwang ,"0.035
(0.017)"
57, jieceng ,"-0.013
(0.033)"
58, zongjiao ,"-0.013
(0.047)"
59, health ,"0.02
(0.015)"
60, xuanju ,"0.036
(0.032)"
61, jingji ,"0.046
(0.026)"
62, juzhu ,"-0.252
(0.077)"
63, fsize ,"0.022
(0.009)"
64, F_zhiye ,"0.041
(0.081)"
65, P_zhengzhi ,"0.006
(0.064)"
66, P_Education ,"0.021
(0.023)"
67, pollute ,"0.295
(0.077)"
68, _cons ,"-2.079
(0.473)"
69,gdp=1, 
70,--------------------------------------------------------------------------, 
71, ,Robust
72, env_geren ,"Coef.
Std."
73,-------------+----------------------------------------------------------------, 
74, work ,"0.423
(0.117)"
75, age ,"-0.001
(0.002)"
